Job;Standard;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created;;;Functietitel;Gestandaardiseerde titel
Project engineer WTB;;Netherlands;Groningen (provincie);Delfzijl;88;4;1;0;26.375;10.55;0;0.045455;0;0.25;0;10.55;19-6-2025;2-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Friesland;Leeuwarden;7;0;0;0;0;0;0;0;0;0;0;0;2-6-2025;2-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Overijssel;Zwolle;77;11;3;0;1.231.818.181.818.180;4.516.666.666.666.660;0;0.142857;0;0.272727;0;13.55;19-6-2025;2-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Beilen;115;6;0;0;0;0;0;0.052174;0;0;0;0;19-6-2025;2-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Emmen;85;6;3;0;71.499.999.999.999.900;14.299.999.999.999.900;0;0.070588;0;0.5;0;42.9;19-6-2025;2-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Beilen;36;2;1;0;0;0;0;0.055556;0;0.5;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Overijssel;Zwolle;44;3;0;0;0;0;0;0.068182;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Friesland;Heerenveen;46;4;0;0;0;0;0;0.086957;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Friesland;Leeuwarden;68;1;0;0;0;0;0;0.014706;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Groningen (provincie);Groningen;39;3;1;0;7.753.333.333.333.330;23.26;0;0.076923;0;0.333333;0;23.26;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Groningen (provincie);Veendam;37;2;0;0;0;0;0;0.054054;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Wijster;72;1;0;0;0;0;0;0.013889;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Emmen;15;2;1;0;8.21;16.42;0;0.133333;0;0.5;0;16.42;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Groningen (provincie);Delfzijl;35;1;0;0;0;0;0;0.028571;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Assen;60;3;0;0;0;0;0;0.05;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Hoogeveen;22;4;1;0;4.605;18.42;0;0.181818;0;0.25;0;18.42;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Friesland;Drachten;27;4;1;0;5.815;23.26;0;0.148148;0;0.25;0;23.26;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Meppel;62;3;0;0;0;0;0;0.048387;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Coevorden;27;3;0;0;0;0;0;0.111111;0;0;0;0;28-6-2025;25-6-2025;;;Trainee Finance & Control;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Meppel;99;5;1;0;9.193.999.999.999.990;45.97;0;0.050505;0;0.2;0;45.97;8-8-2025;30-7-2025;;;Trainee Finance & Control;Financieel controller
Project Manager a.i.;;Netherlands;Noord-Brabant;Den Bosch;442;73;8;0;0.17917808219178083;1.635;0;0.165158;0;0.109589;0;13.08;19-6-2025;13-6-2025;;;Trainee Finance & Control;Financieel controller
Project Support Medewerker (site engineering);;Netherlands;Noord-Holland;Haarlem;156;14;2;0;0.852857142857143;5.970.000.000.000.000;0;0.089744;0;0.142857;0;11.940.000.000.000.000;22-5-2025;19-5-2025;;;Bid Manager;Financieel manager
Project Support Medewerker (site engineering);;Netherlands;Noord-Holland;Haarlem;132;9;0;0;0;0;0;0.068182;0;0;0;0;2-6-2025;2-6-2025;;;Bid Manager;Financieel manager
Projectcoîrdinator Machinebouw;;Netherlands;Overijssel;Enschede;472;14;2;0;0.9171428571428571;6.42;0;0.029661;0;0.142857;0;12.84;19-6-2025;4-6-2025;;;Bid Manager;Financieel manager
Projectcoordinator Parking;;Netherlands;Noord-Holland;Schiphol;809;49;2;0;0.18469387755102043;4.525;0;0.060569;0;0.040816;0;9.05;22-5-2025;9-5-2025;;;Bid Manager;Financieel manager
Projectengineer;;Netherlands;Limburg;Weert;4;0;0;0;0;0;0;0;0;0;0;0;17-9-2025;17-9-2025;;;Bid Manager;Financieel manager
