Job;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created
Maintenance Engineer;Netherlands;Friesland;Leeuwarden;228;13;1;0;0.15076923076923077;1.96;0;0.057018;0;0.076923;0;1.96;14-9-2025;15-8-2025
Maintenance Engineer;Netherlands;Zuid-Holland;Gouda;114;8;0;0;0;0;0;0.070175;0;0;0;0;25-9-2025;26-8-2025
Maintenance Engineer;Netherlands;Zeeland;Terneuzen;56;4;0;0;0;0;0;0.071429;0;0;0;0;17-9-2025;16-9-2025
Maintenance Engineer;Netherlands;Friesland;Leeuwarden;44;3;0;0;0;0;0;0.068182;0;0;0;0;1-10-2025;22-9-2025
Maintenance Engineer;Netherlands;Drenthe;Emmen;57;6;0;0;0;0;0;0.105263;0;0;0;0;6-11-2025;7-10-2025
Maintenance Engineer Automation;Netherlands;Zuid-Holland;Gouda;136;10;1;0;0.9199999999999999;9.2;0;0.073529;0;0.1;0;9.2;22-5-2025;15-5-2025
Maintenance Engineer Lutjewinkel;Netherlands;Gelderland;Borculo;23;2;0;0;0;0;0;0.086957;0;0;0;0;22-5-2025;15-5-2025
Maintenance Engineer Lutjewinkel;Netherlands;Gelderland;Borculo;63;5;0;0;0;0;0;0.079365;0;0;0;0;22-5-2025;15-5-2025
Maintenance Engineer W&E;Netherlands;Noord-Holland;Hoofddorp;50;4;2;0;24.567.500.000.000.000;49.135.000.000.000.000;0;0.08;0;0.5;0;9.827.000.000.000.000;17-9-2025;18-8-2025
Maintenance Manager;Netherlands;Friesland;Bolsward;390;30;1;0;0.2936666666666667;8.81;0;0.076923;0;0.033333;0;8.81;22-5-2025;15-5-2025
Maintenance Manager;Netherlands;Friesland;Bolsward;9;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;15-5-2025
Maintenance Manager;Netherlands;Noord-Brabant;Waalwijk;239;25;3;0;0.204;1.7;0;0.104603;0;0.12;0;5.1;22-5-2025;16-5-2025
Maintenance Manager;Netherlands;Noord-Brabant;Waalwijk;123;17;0;0;0;0;0;0.138211;0;0;0;0;22-5-2025;16-5-2025
Maintenance Manager;Netherlands;Utrecht (provincie);Veenendaal;534;26;1;0;0.4761538461538462;12.38;0;0.048689;0;0.038462;0;12.38;22-5-2025;21-5-2025
Maintenance Manager;Netherlands;Noord-Brabant;Waalwijk;67;5;1;0;1.542;7.71;0;0.074627;0;0.2;0;7.71;2-6-2025;2-6-2025
Maintenance Manager;Netherlands;Noord-Brabant;Waalwijk;220;34;5;0;0.6373529411764706;4.334;0;0.154545;0;0.147059;0;21.669.999.999.999.900;19-6-2025;2-6-2025
Maintenance Supervisor;Netherlands;Limburg;Geleen;66;8;0;0;0;0;0;0.121212;0;0;0;0;9-9-2025;9-9-2025
Manager - Technical Site Services;Netherlands;Limburg;Maastricht;299;41;3;0;0.6829268292682927;9.333.333.333.333.330;0;0.137124;0;0.073171;0;28;11-6-2025;6-6-2025
Manager Projectbeheersing;Netherlands;Zuid-Holland;Papendrecht;502;32;0;0;0;0;0;0.063745;0;0;0;0;22-5-2025;21-5-2025
Manager Projectbeheersing;Netherlands;Zuid-Holland;Papendrecht;248;17;1;0;0.16411764705882353;2.79;0;0.068548;0;0.058824;0;2.79;22-5-2025;21-5-2025
Manager Realisatie Techniek;Netherlands;Utrecht (provincie);Bunnik;101;14;2;0;0.27999999999999997;1.96;0;0.138614;0;0.142857;0;3.92;28-6-2025;25-6-2025
Mechanical Design Engineer;Netherlands;Noord-Brabant;Eindhoven;549;61;5;0;0.5454098360655738;6.654.000.000.000.000;0;0.111111;0;0.081967;0;33.27;22-5-2025;21-5-2025
Mechanical Engineer;Netherlands;Overijssel;Enschede;276;25;4;0;1.11;69.375;0;0.09058;0;0.16;0;27.75;22-5-2025;30-4-2025
Mechanical Engineer;Netherlands;Gelderland;Lochem;136;13;5;0;12.453.846.153.846.100;32.380.000.000.000.000;0;0.095588;0;0.384615;0;16.19;19-6-2025;18-6-2025
Mechanical Engineer;Netherlands;Zuid-Holland;Papendrecht;185;25;4;0;13.204.000.000.000.000;8.252.500.000.000.000;0;0.135135;0;0.16;0;33.010.000.000.000.000;26-9-2025;27-8-2025
Mechanical Engineer;Netherlands;Zuid-Holland;Papendrecht;53;9;1;0;0.3433333333333333;3.09;0;0.169811;0;0.111111;0;3.09;1-10-2025;22-9-2025
Mechanical Engineer;Netherlands;Overijssel;Enschede;120;15;0;0;0;0;0;0.125;0;0;0;0;5-11-2025;6-10-2025
Mechanical Engineer;Netherlands;Zuid-Holland;Waddinxveen;57;9;3;0;6.856.666.666.666.660;20.569.999.999.999.900;0;0.157895;0;0.333333;0;61.709.999.999.999.900;28-10-2025;28-10-2025
Mechanical Engineer (Automotive);Netherlands;Gelderland;Ede;98;15;1;0;0.21666666666666667;3.25;0;0.153061;0;0.066667;0;3.25;8-8-2025;1-8-2025
Mechanical Engineer Offshore Wind;Netherlands;Zuid-Holland;Leiden;135;23;5;0;23.834.782.608.695.600;10.964;0;0.17037;0;0.217391;0;54.82;1-10-2025;22-9-2025
Mechanical engineer;Netherlands;Zuid-Holland;Den Haag;115;18;5;0;2.647.777.777.777.770;9.532;0;0.156522;0;0.277778;0;47.660.000.000.000.000;8-8-2025;1-8-2025
Mechanical engineer;Netherlands;Noord-Holland;Haarlem;80;12;7;0;3.823.333.333.333.330;6.554.285.714.285.710;0;0.15;0;0.583333;0;45.879.999.999.999.900;8-8-2025;1-8-2025
Mechanical engineer;Netherlands;Zuid-Holland;Leiden;1;0;0;0;0;0;0;0;0;0;0;0;1-10-2025;1-9-2025
Mechanical engineer;Netherlands;Noord-Holland;Haarlem;1;1;1;0;51.86;51.86;0;1;0;1;0;51.86;1-10-2025;1-9-2025
Mechanical engineer;Netherlands;Zuid-Holland;Rotterdam;2;1;1;0;0;0;0;0.5;0;1;0;0;1-10-2025;1-9-2025
Mechanical engineer;Netherlands;Zuid-Holland;Den Haag;49;6;0;0;0;0;0;0.122449;0;0;0;0;1-10-2025;1-9-2025
Mechanical engineer;Netherlands;Noord-Holland;Haarlem;117;14;1;0;0.2785714285714286;3.9;0;0.119658;0;0.071429;0;3.9;24-10-2025;2-10-2025
Mechanical engineer;Netherlands;Zuid-Holland;Den Haag;95;15;0;0;0;0;0;0.157895;0;0;0;0;24-10-2025;2-10-2025
Mechanical engineer;Netherlands;Utrecht (provincie);Utrecht;91;9;2;0;34.222.222.222.222.200;15.4;0;0.098901;0;0.222222;0;30.8;24-10-2025;2-10-2025
Mechanisch Monteur;Netherlands;Overijssel;Hengelo OV;75;7;1;0;10.457.142.857.142.800;7.32;0;0.093333;0;0.142857;0;7.32;19-6-2025;2-6-2025
Medior Manager Realisatie Techniek;Netherlands;Utrecht (provincie);Bunnik;47;2;0;0;0;0;0;0.042553;0;0;0;0;28-6-2025;25-6-2025
Medior Project Engineer;Netherlands;Noord-Holland;Amsterdam;59;3;0;0;0;0;0;0.050847;0;0;0;0;22-5-2025;15-1-2025
Medior Project Engineer Installatietechniek;Netherlands;Utrecht (provincie);Utrecht;68;3;0;0;0;0;0;0.044118;0;0;0;0;22-5-2025;28-1-2025
Medior Projectcoördinator Nieuwbouw;Netherlands;Zuid-Holland;Vlaardingen;62;1;0;0;0;0;0;0.016129;0;0;0;0;1-10-2025;19-9-2025
Medior Projectcoördinator Nieuwbouw;Netherlands;Zuid-Holland;Vlaardingen;45;1;0;0;0;0;0;0.022222;0;0;0;0;1-10-2025;19-9-2025
Medior Projectcoördinator Nieuwbouw;Netherlands;Zuid-Holland;Vlaardingen;37;1;1;0;27.36;27.36;0;0.027027;0;1;0;27.36;1-10-2025;19-9-2025
Medior Projectleider Elektrotechniek Utiliteitsbouw;Netherlands;Noord-Holland;Schiphol;4;0;0;0;0;0;0;0;0;0;0;0;28-6-2025;25-6-2025
Medior Projectmanager Installatie techniek Utilliteitsbouw;Netherlands;Noord-Holland;Schiphol;53;1;0;0;0;0;0;0.018868;0;0;0;0;28-6-2025;25-6-2025
Medior Projectmanager Installatietechniek Utiliteitsbouw;Netherlands;Utrecht (provincie);Bunnik;25;3;0;0;0;0;0;0.12;0;0;0;0;28-6-2025;25-6-2025
Medior Uitvoerder Civiele Techniek;Netherlands;Zuid-Holland;Delft;11;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;6-2-2025
Medior Uitvoerder Elektrotechniek;Netherlands;Utrecht (provincie);Bunnik;30;1;0;0;0;0;0;0.033333;0;0;0;0;8-8-2025;1-8-2025
Medior Werkvoorbereider Bouwkunde;Netherlands;Zuid-Holland;Delft;40;1;0;0;0;0;0;0.025;0;0;0;0;22-5-2025;6-2-2025
Medior Werkvoorbereider Bouwkunde;Netherlands;Zuid-Holland;Delft;82;1;0;0;0;0;0;0.012195;0;0;0;0;22-5-2025;6-2-2025
Medior Werkvoorbereider Civiele Techniek;Netherlands;Zuid-Holland;Delft;68;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;6-2-2025
Medior Werkvoorbereider Civiele Techniek;Netherlands;Utrecht (provincie);Utrecht;70;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;6-2-2025
Modelleur Constructie;Netherlands;Zuid-Holland;Dordrecht;90;6;1;0;20.716.666.666.666.600;12.43;0;0.066667;0;0.166667;0;12.43;29-5-2025;23-5-2025
Monteur Schadeherstel;Netherlands;Drenthe;Meppel;38;2;0;0;0;0;0;0.052632;0;0;0;0;14-9-2025;15-8-2025
Monteur Schadeherstel;Netherlands;Drenthe;Meppel;15;1;0;0;0;0;0;0.066667;0;0;0;0;24-10-2025;24-9-2025
Netspecialist Elektra;Netherlands;Noord-Holland;Amsterdam;78;3;0;0;0;0;0;0.038462;0;0;0;0;19-6-2025;17-6-2025
OT Engineer;Netherlands;Drenthe;Wijster;95;2;0;0;0;0;0;0.021053;0;0;0;0;22-5-2025;15-5-2025
OT Engineer;Netherlands;Gelderland;Borculo;319;20;1;0;0.355;7.1;0;0.062696;0;0.05;0;7.1;22-5-2025;21-5-2025
OT Engineer;Netherlands;Drenthe;Wijster;44;4;0;0;0;0;0;0.090909;0;0;0;0;29-5-2025;28-5-2025
OT Engineer;Netherlands;Gelderland;Borculo;131;10;0;0;0;0;0;0.076336;0;0;0;0;28-6-2025;23-6-2025
Omgevingsmanager IPM;Netherlands;Zuid-Holland;Gouda;109;10;0;0;0;0;0;0.091743;0;0;0;0;30-10-2025;30-9-2025
Omgevingsmanager IPM;Netherlands;Noord-Holland;Amsterdam;153;8;1;0;0.765;6.12;0;0.052288;0;0.125;0;6.12;30-10-2025;30-9-2025
Omscholingstraject Werktuigkundige Energiecentrale;Netherlands;Zuid-Holland;Den Haag;305;22;0;0;0;0;0;0.072131;0;0;0;0;22-5-2025;14-5-2025
Order Fulfilment Officer;Netherlands;Noord-Brabant;Veghel;183;14;1;0;0.7878571428571428;11.03;0;0.076503;0;0.071429;0;11.03;22-5-2025;21-5-2025
Ordercoördinator;Netherlands;Noord-Brabant;Veghel;149;17;2;0;0.6;5.1;0;0.114094;0;0.117647;0;10.2;22-5-2025;21-5-2025
Ordercoördinator;Netherlands;Noord-Brabant;Veghel;275;22;5;0;12.427.272.727.272.700;5.468;0;0.08;0;0.227273;0;27.34;19-6-2025;2-6-2025
PLC Software Engineer;Netherlands;Gelderland;Nijmegen;196;9;1;0;23.499.999.999.999.900;21.15;0;0.045918;0;0.111111;0;21.15;24-10-2025;15-10-2025
Packaging Specification Specialist;Netherlands;Gelderland;Wageningen;728;58;10;0;0.26379310344827583;15.299.999.999.999.900;0;0.07967;0;0.172414;0;15.299.999.999.999.900;22-5-2025;16-5-2025
Physical Design Engineer;Netherlands;Noord-Brabant;Eindhoven;363;26;3;0;0.6453846153846154;5.593.333.333.333.330;0;0.071625;0;0.115385;0;16.78;29-5-2025;23-5-2025
Planner (Amersfoort / Borculo);Netherlands;Utrecht (provincie);;174;24;3;0;0.3325;2.66;0;0.137931;0;0.125;0;7.98;22-5-2025;30-4-2025
Planner (Amersfoort / Borculo);Netherlands;Utrecht (provincie);;42;2;0;0;0;0;0;0.047619;0;0;0;0;22-5-2025;15-5-2025
Planner (Amersfoort / Borculo);Netherlands;Utrecht (provincie);Amersfoort;414;55;3;0;0.35999999999999993;6.599.999.999.999.990;0;0.13285;0;0.054545;0;19.799.999.999.999.900;22-5-2025;15-5-2025
Planner (Amersfoort / Borculo);Netherlands;Utrecht (provincie);Amersfoort;443;45;2;0;0.13111111111111112;2.95;0;0.10158;0;0.044444;0;5.9;19-6-2025;2-6-2025
Proces Engineer;Netherlands;Flevoland;Emmeloord;19;1;1;0;9.55;9.55;0;0.052632;0;1;0;9.55;2-6-2025;2-6-2025
Proces Engineer;Netherlands;Groningen (provincie);Groningen;95;10;2;0;1.538;7.69;0;0.105263;0;0.2;0;15.38;19-6-2025;2-6-2025
Proces Engineer;Netherlands;Friesland;Drachten;124;15;1;0;0.6366666666666667;9.55;0;0.120968;0;0.066667;0;9.55;19-6-2025;2-6-2025
Proces Engineer;Netherlands;Drenthe;Hoogeveen;150;15;2;0;12.979.999.999.999.900;9.735;0;0.1;0;0.133333;0;19.47;19-6-2025;2-6-2025
Proces Engineer;Netherlands;Drenthe;Hoogeveen;135;16;1;0;0.25;4;0;0.118519;0;0.0625;0;4;8-8-2025;4-8-2025
Proces Engineer;Netherlands;Groningen (provincie);Groningen;98;19;7;0;0.8647368421052631;2.347.142.857.142.850;0;0.193878;0;0.368421;0;16.43;8-8-2025;4-8-2025
Procescoördinator Infra;Netherlands;Noord-Holland;Zaanstad;9;1;0;0;0;0;0;0.111111;0;0;0;0;14-9-2025;15-8-2025
Procescoördinator Infra;Netherlands;Noord-Holland;Zaanstad;150;4;1;0;10.77;43.08;0;0.026667;0;0.25;0;43.08;17-9-2025;16-9-2025
Procurement Manager (packaging);Netherlands;Utrecht (provincie);Amersfoort;976;59;7;0;0.3547457627118644;29.899.999.999.999.900;0;0.060451;0;0.118644;0;20.93;11-6-2025;11-6-2025
Product Developer;Netherlands;Gelderland;Wageningen;29;1;0;0;0;0;0;0.034483;0;0;0;0;20-8-2025;20-8-2025
Productieplanner;Netherlands;Zuid-Holland;Maasdam;299;15;0;0;0;0;0;0.050167;0;0;0;0;4-6-2025;4-6-2025
Project Coordinator;Netherlands;Gelderland;Duiven;476;69;1;0;0.15898550724637683;10.97;0;0.144958;0;0.014493;0;10.97;19-6-2025;17-6-2025
Project Coordinator Meet en Regeltechniek;Netherlands;Noord-Holland;Amsterdam;161;7;1;0;0.7285714285714285;5.1;0;0.043478;0;0.142857;0;5.1;22-5-2025;30-4-2025
Project Coordinator Meet en Regeltechniek;Netherlands;Noord-Holland;Amsterdam;564;22;2;0;0.6595454545454545;7.255;0;0.039007;0;0.090909;0;14.51;22-5-2025;14-5-2025
Project Coordinator Meet en Regeltechniek;Netherlands;Noord-Holland;Velsen-Noord;99;3;0;0;0;0;0;0.030303;0;0;0;0;22-5-2025;14-5-2025
Project Coordinator Meet en Regeltechniek;Netherlands;Noord-Holland;Diemen;485;11;1;0;16.600.000.000.000.000;18.26;0;0.02268;0;0.090909;0;18.26;22-5-2025;14-5-2025
Project Coördinator;Netherlands;Zuid-Holland;Dordrecht;817;71;2;0;0.34647887323943666;12.3;0;0.086903;0;0.028169;0;24.6;29-5-2025;23-5-2025
Project Coördinator;Netherlands;Zuid-Holland;Dordrecht;260;32;1;0;0.5775;18.48;0;0.123077;0;0.03125;0;18.48;28-6-2025;23-6-2025
Project Coördinator;Netherlands;Zuid-Holland;Dordrecht;162;19;1;0;0;0;0;0.117284;0;0.052632;0;0;17-9-2025;16-9-2025
Project Engineer Bouwkunde;Netherlands;Noord-Holland;Amsterdam;85;6;0;0;0;0;0;0.070588;0;0;0;0;19-6-2025;3-6-2025
Project Engineer CT;Netherlands;Groningen (provincie);Groningen;136;12;1;0;0.35083333333333333;4.21;0;0.088235;0;0.083333;0;4.21;22-5-2025;14-5-2025
Project Engineer CT;Netherlands;Drenthe;Meppel;12;2;0;0;0;0;0;0.166667;0;0;0;0;22-5-2025;14-5-2025
Project Engineer CT;Netherlands;Friesland;Drachten;10;1;0;0;0;0;0;0.1;0;0;0;0;22-5-2025;14-5-2025
Project Engineer CT;Netherlands;Friesland;Leeuwarden;157;7;0;0;0;0;0;0.044586;0;0;0;0;22-5-2025;14-5-2025
Project Engineer CT;Netherlands;Drenthe;Emmen;139;8;0;0;0;0;0;0.057554;0;0;0;0;22-5-2025;14-5-2025
Project Engineer CT;Netherlands;Groningen (provincie);Stadskanaal;134;11;1;0;0.8581818181818182;9.44;0;0.08209;0;0.090909;0;9.44;22-5-2025;16-5-2025
Project Engineer CT;Netherlands;Groningen (provincie);Groningen;141;8;3;0;5.83;15.546.666.666.666.600;0;0.056738;0;0.375;0;46.64;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Drenthe;Assen;125;7;1;0;1.502.857.142.857.140;10.52;0;0.056;0;0.142857;0;10.52;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Friesland;Leeuwarden;128;6;1;0;2.151.666.666.666.660;12.91;0;0.046875;0;0.166667;0;12.91;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Drenthe;Wijster;182;8;0;0;0;0;0;0.043956;0;0;0;0;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Drenthe;Meppel;156;8;0;0;0;0;0;0.051282;0;0;0;0;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Groningen (provincie);Veendam;147;9;1;0;0.8611111111111112;7.75;0;0.061224;0;0.111111;0;7.75;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Drenthe;Coevorden;136;5;1;0;17.260.000.000.000.000;8.63;0;0.036765;0;0.2;0;8.63;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Friesland;Drachten;165;9;0;0;0;0;0;0.054545;0;0;0;0;19-6-2025;2-6-2025
Project Engineer CT;Netherlands;Groningen (provincie);Veendam;91;3;0;0;0;0;0;0.032967;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Groningen (provincie);Groningen;35;2;0;0;0;0;0;0.057143;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Drenthe;Assen;41;2;0;0;0;0;0;0.04878;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Friesland;Drachten;69;3;0;0;0;0;0;0.043478;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Drenthe;Coevorden;59;4;0;0;0;0;0;0.067797;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Friesland;Leeuwarden;48;3;1;0;33.800.000.000.000.000;10.14;0;0.0625;0;0.333333;0;10.14;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Overijssel;Zwolle;93;6;0;0;0;0;0;0.064516;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Drenthe;Wijster;107;3;0;0;0;0;0;0.028037;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Friesland;Heerenveen;69;3;0;0;0;0;0;0.043478;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Drenthe;Emmen;33;3;0;0;0;0;0;0.090909;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Drenthe;Beilen;57;2;0;0;0;0;0;0.035088;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Groningen (provincie);Delfzijl;55;1;1;0;8.35;8.35;0;0.018182;0;1;0;8.35;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Drenthe;Meppel;46;4;0;0;0;0;0;0.086957;0;0;0;0;28-6-2025;25-6-2025
Project Engineer CT;Netherlands;Friesland;Leeuwarden;70;4;0;0;0;0;0;0.057143;0;0;0;0;8-8-2025;30-7-2025
Project Engineer Civiele Techniek;Netherlands;Noord-Holland;Amsterdam;77;4;1;0;28.925;11.57;0;0.051948;0;0.25;0;11.57;19-6-2025;3-6-2025
Project Engineer WTB;Netherlands;Groningen (provincie);Stadskanaal;27;1;1;0;0;0;0;0.037037;0;1;0;0;28-6-2025;25-6-2025
Project Manager a.i.;Netherlands;Noord-Brabant;Den Bosch;442;73;8;0;0.17917808219178083;1.635;0;0.165158;0;0.109589;0;13.08;19-6-2025;13-6-2025
Project Support Medewerker (site engineering);Netherlands;Noord-Holland;Haarlem;156;14;2;0;0.852857142857143;5.970.000.000.000.000;0;0.089744;0;0.142857;0;11.940.000.000.000.000;22-5-2025;19-5-2025
Project Support Medewerker (site engineering);Netherlands;Noord-Holland;Haarlem;132;9;0;0;0;0;0;0.068182;0;0;0;0;2-6-2025;2-6-2025
Project engineer WTB;Netherlands;Groningen (provincie);Stadskanaal;8;1;0;0;0;0;0;0.125;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Drenthe;Wijster;11;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Drenthe;Meppel;11;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Drenthe;Coevorden;20;1;0;0;0;0;0;0.05;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Groningen (provincie);Veendam;13;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Groningen (provincie);Groningen;130;13;2;0;1.506.153.846.153.840;9.79;0;0.1;0;0.153846;0;19.58;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Drenthe;Assen;99;8;1;0;1.185;9.48;0;0.080808;0;0.125;0;9.48;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Friesland;Heerenveen;122;9;1;0;0.38333333333333336;3.45;0;0.07377;0;0.111111;0;3.45;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Friesland;Leeuwarden;216;12;0;0;0;0;0;0.055556;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Overijssel;Zwolle;4;1;0;0;0;0;0;0.25;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Drenthe;Emmen;135;7;0;0;0;0;0;0.051852;0;0;0;0;22-5-2025;15-5-2025
Project engineer WTB;Netherlands;Groningen (provincie);Groningen;203;12;0;0;0;0;0;0.059113;0;0;0;0;19-6-2025;2-6-2025
Project engineer WTB;Netherlands;Drenthe;Assen;115;5;1;0;2.566;12.83;0;0.043478;0;0.2;0;12.83;19-6-2025;2-6-2025
Project engineer WTB;Netherlands;Friesland;Heerenveen;118;7;1;0;14.828.571.428.571.400;10.38;0;0.059322;0;0.142857;0;10.38;19-6-2025;2-6-2025
Project engineer WTB;Netherlands;Groningen (provincie);Delfzijl;88;4;1;0;26.375;10.55;0;0.045455;0;0.25;0;10.55;19-6-2025;2-6-2025
Project engineer WTB;Netherlands;Friesland;Leeuwarden;7;0;0;0;0;0;0;0;0;0;0;0;2-6-2025;2-6-2025
Project engineer WTB;Netherlands;Overijssel;Zwolle;77;11;3;0;1.231.818.181.818.180;4.516.666.666.666.660;0;0.142857;0;0.272727;0;13.55;19-6-2025;2-6-2025
Project engineer WTB;Netherlands;Drenthe;Beilen;115;6;0;0;0;0;0;0.052174;0;0;0;0;19-6-2025;2-6-2025
Project engineer WTB;Netherlands;Drenthe;Emmen;85;6;3;0;71.499.999.999.999.900;14.299.999.999.999.900;0;0.070588;0;0.5;0;42.9;19-6-2025;2-6-2025
Project engineer WTB;Netherlands;Drenthe;Beilen;36;2;1;0;0;0;0;0.055556;0;0.5;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Overijssel;Zwolle;44;3;0;0;0;0;0;0.068182;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Friesland;Heerenveen;46;4;0;0;0;0;0;0.086957;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Friesland;Leeuwarden;68;1;0;0;0;0;0;0.014706;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Groningen (provincie);Groningen;39;3;1;0;7.753.333.333.333.330;23.26;0;0.076923;0;0.333333;0;23.26;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Groningen (provincie);Veendam;37;2;0;0;0;0;0;0.054054;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Drenthe;Wijster;72;1;0;0;0;0;0;0.013889;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Drenthe;Emmen;15;2;1;0;8.21;16.42;0;0.133333;0;0.5;0;16.42;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Groningen (provincie);Delfzijl;35;1;0;0;0;0;0;0.028571;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Drenthe;Assen;60;3;0;0;0;0;0;0.05;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Drenthe;Hoogeveen;22;4;1;0;4.605;18.42;0;0.181818;0;0.25;0;18.42;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Friesland;Drachten;27;4;1;0;5.815;23.26;0;0.148148;0;0.25;0;23.26;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Drenthe;Meppel;62;3;0;0;0;0;0;0.048387;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Drenthe;Coevorden;27;3;0;0;0;0;0;0.111111;0;0;0;0;28-6-2025;25-6-2025
Project engineer WTB;Netherlands;Drenthe;Meppel;99;5;1;0;9.193.999.999.999.990;45.97;0;0.050505;0;0.2;0;45.97;8-8-2025;30-7-2025
Projectcoordinator Parking;Netherlands;Noord-Holland;Schiphol;809;49;2;0;0.18469387755102043;4.525;0;0.060569;0;0.040816;0;9.05;22-5-2025;9-5-2025
Projectcoördinator;Netherlands;Noord-Holland;;119;14;0;0;0;0;0;0.117647;0;0;0;0;17-9-2025;17-9-2025
Projectcoördinator Machinebouw;Netherlands;Overijssel;Enschede;472;14;2;0;0.9171428571428571;6.42;0;0.029661;0;0.142857;0;12.84;19-6-2025;4-6-2025
Projectengineer;Netherlands;Limburg;Weert;4;0;0;0;0;0;0;0;0;0;0;0;17-9-2025;17-9-2025
Projectleider;Netherlands;Utrecht (provincie);Utrecht;191;21;1;0;0.5119047619047619;10.75;0;0.109948;0;0.047619;0;10.75;11-6-2025;6-6-2025
Projectleider (energiesector);Netherlands;Noord-Brabant;Den Bosch;117;6;0;0;0;0;0;0.051282;0;0;0;0;22-5-2025;6-5-2025
Projectleider (energiesector);Netherlands;Noord-Brabant;Den Bosch;101;5;2;0;1.56;3.9;0;0.049505;0;0.4;0;7.8;19-6-2025;2-6-2025
Projectleider Bouw;Netherlands;Groningen (provincie);Marum;105;7;0;0;0;0;0;0.066667;0;0;0;0;22-5-2025;16-5-2025
Projectleider Bouw;Netherlands;Friesland;Leeuwarden;73;7;0;0;0;0;0;0.09589;0;0;0;0;19-6-2025;2-6-2025
Projectleider Bouw;Netherlands;Overijssel;Zwolle;114;7;0;0;0;0;0;0.061404;0;0;0;0;19-6-2025;2-6-2025
Projectleider Bouw;Netherlands;Flevoland;Lelystad;37;3;1;0;4;12;0;0.081081;0;0.333333;0;12;19-6-2025;2-6-2025
Projectleider Bouw;Netherlands;Friesland;Drachten;80;5;0;0;0;0;0;0.0625;0;0;0;0;19-6-2025;2-6-2025
Projectleider Bouw;Netherlands;Groningen (provincie);Groningen;107;6;0;0;0;0;0;0.056075;0;0;0;0;19-6-2025;2-6-2025
Projectleider Bouwkunde;Netherlands;Utrecht (provincie);Utrecht;57;1;0;0;0;0;0;0.017544;0;0;0;0;22-5-2025;6-2-2025
