Job;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created
Maintenance Engineer;Netherlands;Groningen (provincie);Groningen;139;7;0;0;0;0;0;0.05036;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Overijssel;Oldenzaal;77;9;0;0;0;0;0;0.116883;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Drenthe;Emmen;117;4;0;0;0;0;0;0.034188;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Overijssel;Steenwijk;35;3;0;0;0;0;0;0.085714;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Overijssel;Zwolle;133;10;0;0;0;0;0;0.075188;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Noord-Holland;Schagen;74;4;0;0;0;0;0;0.054054;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Friesland;Wolvega;41;2;0;0;0;0;0;0.04878;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Bedum;25;3;0;0;0;0;0;0.12;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Overijssel;Ommen;53;4;0;0;0;0;0;0.075472;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Overijssel;Deventer;57;4;0;0;0;0;0;0.070175;0;0;0;0;22-5-2025;6-5-2025
Maintenance Engineer;Netherlands;Overijssel;Oldenzaal;6;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;7-5-2025
Maintenance Engineer;Netherlands;Flevoland;Emmeloord;26;5;0;0;0;0;0;0.192308;0;0;0;0;22-5-2025;7-5-2025
Maintenance Engineer;Netherlands;Friesland;Leeuwarden;109;9;2;0;19.633.333.333.333.300;8.834.999.999.999.990;0;0.082569;0;0.222222;0;17.669.999.999.999.900;22-5-2025;7-5-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Delfzijl;59;4;0;0;0;0;0;0.067797;0;0;0;0;22-5-2025;7-5-2025
Maintenance Engineer;Netherlands;Drenthe;Hoogeveen;48;4;1;0;61.025;24.41;0;0.083333;0;0.25;0;24.41;22-5-2025;7-5-2025
Maintenance Engineer;Netherlands;Drenthe;Coevorden;144;6;0;0;0;0;0;0.041667;0;0;0;0;22-5-2025;7-5-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Groningen;167;8;0;0;0;0;0;0.047904;0;0;0;0;22-5-2025;7-5-2025
Maintenance Engineer;Netherlands;Drenthe;Emmen;37;2;0;0;0;0;0;0.054054;0;0;0;0;22-5-2025;13-5-2025
Maintenance Engineer;Netherlands;Friesland;Joure;42;3;0;0;0;0;0;0.071429;0;0;0;0;22-5-2025;14-5-2025
